OTU_ID	CM08	CM07	A12	E05	CM05	CM09	CM06	CM02	T02	CM04	L04	P01	D09	CM11	CM10	S03	W08	CM03	CM12	C07	CM01	R11	F06	CM13	Z10	Taxonomy
OTU_4401	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3646	54	0	0	0	0	63	0	0	0	57	0	0	0	0	0	0	13	0	0	0	0	0	12	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_5915	1	531	136	342	0	31	1116	5	0	473	0	1	70	4	1175	5	0	21	212	0	94	0	0	162	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2582	34	17	0	0	0	282	0	0	0	0	0	0	0	1450	2	0	0	1	278	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_6580	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2343	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7013	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_6837	23	0	7	162	0	0	588	380	367	522	2299	140	0	0	0	280	6	96	6	53	1537	0	116	206	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_6256	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7375	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	1	0	1	1	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_5358	1	544	0	0	0	15	25	1	2	11486	0	0	1	7	0	6	105	542	5	3	126	0	0	255	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_1434	1	0	0	0	80	1	0	565	0	4842	0	0	0	0	0	4	0	2	2	0	0	0	19	61	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_4305	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_1400	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_786	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_4076	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_5418	0	1	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3310	0	4	0	0	0	0	1	0	0	0	6	5	0	0	0	4	0	0	0	59	5	0	0	13	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2707	0	3	10	0	0	0	0	0	0	39	0	0	1	0	0	0	13	0	0	0	0	0	0	2	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2830	0	0	24	0	0	0	0	0	0	0	1	1	21	1	5	0	1	0	0	32	0	2	0	16	15	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3890	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_5721	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7069	0	0	4	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	194	0	0	0	0	1	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7278	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_1288	0	0	0	2	3	0	0	339	745	0	24	0	0	0	0	0	0	0	0	0	2	0	3	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7185	0	0	0	0	0	0	0	0	0	106	0	0	0	1	0	0	0	17	0	0	10	0	59	53	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3436	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7283	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_7033	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_6627	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2391	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_1615	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_127	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_1388	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3156	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_2611	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	369	21	0	7	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_6585	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	5	0	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_3873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_unidentified;f_unidentified;g_Agaricomycetes_;s_Agaricomycetes_sp
OTU_462	1012	10718	1592	3390	21776	13198	10312	4032	441	4631	26650	11470	38656	28811	28073	13662	19589	13953	2454	4244	11009	3504	2765	17556	40542	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_6018	10	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_6733	4	30	6	16	75	45	30	15	1	11	94	33	103	79	72	40	59	41	13	10	33	14	14	46	118	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_4772	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_5332	0	0	0	0	1	0	2	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_6582	0	0	0	0	0	4	1	0	1	0	6	1	102	1	4	0	4	1	0	0	0	0	0	1	16	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_6307	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	1	2	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_5564	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_464	0	0	0	4	0	0	0	0	17	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_1178	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_3442	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_2689	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
OTU_41	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	k_Fungi;p_Basidiomycota;c_Atractiellomycetes;o_Atractiellales;f_unidentified;g_Atractiellales_;s_Atractiellales_sp
